Symbol,cluster,Cluster_name
TECH,0,Lower-vol
TEL,0,Lower-vol
TER,0,Lower-vol
TFC,0,Lower-vol
TGT,0,Lower-vol
TJX,0,Lower-vol
TKO,0,Lower-vol
TMO,0,Lower-vol
TMUS,0,Lower-vol
TPL,0,Lower-vol
TPR,0,Lower-vol
TRGP,0,Lower-vol
TRMB,0,Lower-vol
TROW,0,Lower-vol
TRV,0,Lower-vol
TSCO,0,Lower-vol
TSLA,1,Higher-vol
TSN,0,Lower-vol
TT,0,Lower-vol
TTD,1,Higher-vol
TTWO,0,Lower-vol
TXN,0,Lower-vol
TXT,0,Lower-vol
TYL,0,Lower-vol
UAL,1,Higher-vol
UBER,1,Higher-vol
UDR,0,Lower-vol
UHS,0,Lower-vol
ULTA,0,Lower-vol
UNH,0,Lower-vol
UNP,0,Lower-vol
UPS,0,Lower-vol
URI,0,Lower-vol
USB,0,Lower-vol
V,0,Lower-vol
VICI,0,Lower-vol
VLO,0,Lower-vol
VLTO,0,Lower-vol
VMC,0,Lower-vol
VRSK,0,Lower-vol
VRSN,0,Lower-vol
VRTX,0,Lower-vol
VST,0,Lower-vol
VTR,0,Lower-vol
VTRS,0,Lower-vol
VZ,0,Lower-vol
WAB,0,Lower-vol
WAT,0,Lower-vol
WBD,1,Higher-vol
WDAY,0,Lower-vol
WDC,0,Lower-vol
WEC,0,Lower-vol
WELL,0,Lower-vol
WFC,0,Lower-vol
WM,0,Lower-vol
WMB,0,Lower-vol
WMT,0,Lower-vol
WRB,0,Lower-vol
WSM,0,Lower-vol
WST,0,Lower-vol
WTW,0,Lower-vol
WY,0,Lower-vol
WYNN,1,Higher-vol
XEL,0,Lower-vol
XOM,0,Lower-vol
XYL,0,Lower-vol
XYZ,1,Higher-vol
YUM,0,Lower-vol
ZBH,0,Lower-vol
ZBRA,0,Lower-vol
ZTS,0,Lower-vol
